SMILES,PID,Polymer Class,Tg
*C*,P010001,Polyolefins,-54
*CC(*)C,P010002,Polyolefins,-3
*CC(*)CC,P010003,Polyolefins,-24.1
*CC(*)CCC,P010004,Polyolefins,-37
*CC(*)C(C)C,P010006,Polyolefins,60
*CC(*)CCCC,P010007,Polyolefins,-50
*CC(*)CC(C)C,P010008,Polyolefins,35.2
*CC(*)CCCCC,P010009,Polyolefins,-45.5
*CC(*)CCCCCCC,P010012,Polyolefins,-47
*CC(*)CCCCCCCC,P010013,Polyolefins,-35
*CC(*)(C)C,P010014,Polyolefins,-72
*CC(*)(C)CC,P010015,Polyolefins,-5
*CCC(*)(C)C,P010016,Polyolefins,-12
*CC(C)C(*)(C)C,P010017,Polyolefins,37
*CCCC(*)(C)C,P010018,Polyolefins,-20
*CCCC(*)(C)CC,P010019,Polyolefins,-23
*CCCCCCCC(*)C,P010020,Polyolefins,-58
*CC(*)C1CCCC1,P010023,Polyolefins,75
*CC(*)CC1CCCC1,P010024,Polyolefins,60
*CC(*)C1CCCCC1,P010025,Polyolefins,119.7
*CC(*)CC1CCCCC1,P010026,Polyolefins,75
*CC(*)Cc1ccccc1,P010027,Polyvinyls,70
*CC(*)CCc1ccccc1,P010028,Polyvinyls,10
*CC(*)CCCCCC,P010040,Polyolefins,-54
*CC(*)CCCCCCCCCC,P010042,Polyolefins,-6
*CC(*)CCCCCCCCCCCC,P010043,Polyolefins,10
*CC(*)CCCCCCCCCCCCCCCC,P010044,Polyolefins,55
*CC(*)CC(C)(C)C,P010055,Polyolefins,190
*CC(*)CCC1CCCCC1,P010060,Polyolefins,40
*CC(*)(C)CCC,P010065,Polyolefins,27
*/C=C/CCC*,P010068,Polydienes,-99.6
*/C=C/CC*,P010070,Polydienes,-69
*/C=C/CC*,P010071,Polydienes,-103
*/C=C/CC*,P010072,Polydienes,-91
*CCC(C)C(*)C,P010075,Polyolefins,-26
*CC(*)CCCCCCCCCCCCCC,P010080,Polyolefins,-24
*/C=C/CCCCCC*,P010081,Polydienes,-78
*/C=C/CCC*,P010082,Polydienes,-92.5
*CC(*)C1CCCC(C)C1,P010091,Polyolefins,141
*CC(*)C1CCC(C)CC1,P010092,Polyolefins,132
*CC/C=C(/*)CCCCCCC,P010096,Polydienes,-83
*CC/C=C(/*)C(C)C,P010097,Polydienes,-47
*/C=C/CCC*,P010098,Polydienes,-105
*/C=C/C1CCC(*)C1,P010103,Polydienes,31
*/C=C/CCCCCCCCCC*,P010106,Polydienes,-53
*/C=C/*,P014362,Polydienes,-4
*CC1(*)CCCCC1,P014500,Polyolefins,100
*CC/C=C(/*)C(C)(C)C,P014525,Polydienes,25
*CC(*)c1ccccc1,P020001,"Polystyrenes, Polyvinyls",98
*CC(*)c1ccccc1C,P020002,"Polystyrenes, Polyvinyls",131
*CC(*)c1ccccc1COC,P020005,"Polystyrenes, Polyvinyls",89
*CC(*)c1ccccc1COCC,P020006,"Polystyrenes, Polyvinyls",74
*CC(*)c1ccccc1COCCC,P020007,"Polystyrenes, Polyvinyls",97
*CC(*)c1ccccc1COC(C)C,P020008,"Polystyrenes, Polyvinyls",88
*CC(*)c1ccccc1COCCCC,P020009,"Polystyrenes, Polyvinyls",67
*CC(*)c1ccccc1COCCCCC,P020010,"Polystyrenes, Polyvinyls",47
*CC(*)c1ccccc1COCCC(C)C,P020011,"Polystyrenes, Polyvinyls",78
*CC(*)c1ccccc1COCc1ccccc1,P020012,"Polystyrenes, Polyvinyls",72
*CC(*)c1ccccc1COCCc1ccccc1,P020013,"Polystyrenes, Polyvinyls",63
*CC(*)c1ccccc1C(=O)NC,P020014,"Polystyrenes, Polyvinyls",189
*CC(*)c1ccccc1C(=O)N(C)C,P020015,"Polystyrenes, Polyvinyls",190
*CC(*)c1ccccc1C(=O)Nc1ccccc1,P020016,"Polystyrenes, Polyvinyls",191
*CC(*)c1ccccc1C(=O)O,P020017,"Polystyrenes, Polyvinyls",177
*CC(*)c1ccccc1C(=O)OC,P020018,"Polystyrenes, Polyvinyls",130
*CC(*)c1ccccc1C(=O)OCC,P020019,"Polystyrenes, Polyvinyls",118
*CC(*)c1ccccc1C(=O)OCCC,P020020,"Polystyrenes, Polyvinyls",108
*CC(*)c1ccccc1C(=O)OC(C)C,P020021,"Polystyrenes, Polyvinyls",146
*CC(*)c1ccccc1C(=O)OCCCC,P020022,"Polystyrenes, Polyvinyls",66
*CC(*)c1ccccc1C(=O)OCC(C)C,P020023,"Polystyrenes, Polyvinyls",127
*CC(*)c1ccccc1C(=O)OCCCCC,P020024,"Polystyrenes, Polyvinyls",92
*CC(*)c1ccccc1C(=O)OCCC(C)C,P020025,"Polystyrenes, Polyvinyls",68
*CC(*)c1ccccc1C(=O)OCCCCCC,P020026,"Polystyrenes, Polyvinyls",45
*CC(*)c1ccccc1C(=O)Oc1ccccc1,P020027,"Polystyrenes, Polyvinyls",124
*CC(*)c1ccccc1C(=O)OCCN(C)C,P020028,"Polystyrenes, Polyvinyls",69
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,P020029,"Polystyrenes, Polyvinyls",91
*CC(*)c1ccccc1Cl,P020032,"Polystyrenes, Polyvinyls",119
*CC(*)c1ccccc1F,P020033,"Polystyrenes, Polyvinyls",160.5
*CC(*)c1cccc(C)c1,P020035,"Polystyrenes, Polyvinyls",75
*CC(*)c1cccc(Cl)c1,P020039,"Polystyrenes, Polyvinyls",90
*CC(*)c1cccc(F)c1,P020040,"Polystyrenes, Polyvinyls",86
*CC(*)c1ccc(C)cc1,P020041,"Polystyrenes, Polyvinyls",103
*CC(*)c1ccc(CC)cc1,P020042,"Polystyrenes, Polyvinyls",71.4
*CC(*)c1ccc(C(C)C)cc1,P020043,"Polystyrenes, Polyvinyls",62.4
*CC(*)c1ccc(CCCC)cc1,P020045,"Polystyrenes, Polyvinyls",6
*CC(*)c1ccc(C(C)(C)C)cc1,P020046,"Polystyrenes, Polyvinyls",138
*CC(*)c1ccc(CCCCCC)cc1,P020049,"Polystyrenes, Polyvinyls",-27
*CC(*)c1ccc(CCCCCCCC)cc1,P020050,"Polystyrenes, Polyvinyls",-45
*CC(*)c1ccc(CCCCCCCCC)cc1,P020051,"Polystyrenes, Polyvinyls",-53
*CC(*)c1ccc(CCCCCCCCCC)cc1,P020052,"Polystyrenes, Polyvinyls",-65
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,P020053,"Polystyrenes, Polyvinyls",-52
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,P020054,"Polystyrenes, Polyvinyls",-36
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,P020055,"Polystyrenes, Polyvinyls",4.5
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,P020056,"Polystyrenes, Polyvinyls",32
*CC(*)c1ccc(-c2ccccc2)cc1,P020058,"Polystyrenes, Polyvinyls",161.5
*CC(*)c1ccc(COCCOCC)cc1,P020059,"Polystyrenes, Polyvinyls",0
*CC(*)c1ccc(C#N)cc1,P020060,"Polystyrenes, Polyvinyls",180
*CC(*)c1ccc(Cl)cc1,P020061,"Polystyrenes, Polyvinyls",124
*CC(*)c1ccc(Br)cc1,P020062,"Polystyrenes, Polyvinyls",132
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,P020063,"Polystyrenes, Polyvinyls",42
*CC(*)c1ccc(/C(C)=N/O)cc1,P020064,"Polystyrenes, Polyvinyls",134
*CC(*)c1ccc(C(C)(C)O)cc1,P020065,"Polystyrenes, Polyvinyls",170
*CC(*)c1ccc(C(C)(O)CC)cc1,P020066,"Polystyrenes, Polyvinyls",190
*CC(*)c1ccc(C(C)(O)CCC)cc1,P020067,"Polystyrenes, Polyvinyls",135
*CC(*)c1ccc(C(C)(O)CCCC)cc1,P020068,"Polystyrenes, Polyvinyls",90
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,P020069,"Polystyrenes, Polyvinyls",100
*CC(*)c1ccc(C(O)CCN(C)C)cc1,P020070,"Polystyrenes, Polyvinyls",43
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,P020071,"Polystyrenes, Polyvinyls",54
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,P020072,"Polystyrenes, Polyvinyls",50
*CC(*)c1ccc(COC)cc1,P020074,"Polystyrenes, Polyvinyls",77
*CC(*)c1ccc(COCCO)cc1,P020075,"Polystyrenes, Polyvinyls",46
*CC(*)c1ccc(COCCC)cc1,P020076,"Polystyrenes, Polyvinyls",22
*CC(*)c1ccc(COCCCC)cc1,P020077,"Polystyrenes, Polyvinyls",10
*CC(*)c1ccc(COCCCCO)cc1,P020078,"Polystyrenes, Polyvinyls",20
*CC(*)c1ccc(COC(C)CC)cc1,P020079,"Polystyrenes, Polyvinyls",40
